ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): WEST VIRGINIA

School Name,State Name [Public School] Latest available year,School ID (7-digit) – NCES Assigned [Public School] 2024-25,School Name [Public School] 2024-25,County Name [Public School] 2024-25,Locale [Public School] 2024-25,Locale [Public School] 2023-24,Locale [Public School] 2022-23,Locale [Public School] 2021-22,Locale [Public School] 2020-21,Locale [Public School] 2019-20,Locale [Public School] 2018-19,Locale [Public School] 2017-18,Locale [Public School] 2016-17,Locale [Public School] 2015-16,Locale [Public School] 2014-15,Total Students All Grades (Excludes AE) [Public School] 2024-25,Total Students All Grades (Excludes AE) [Public School] 2023-24,Total Students All Grades (Excludes AE) [Public School] 2022-23,Total Students All Grades (Excludes AE) [Public School] 2021-22,Total Students All Grades (Excludes AE) [Public School] 2020-21,Total Students All Grades (Excludes AE) [Public School] 2019-20,Total Students All Grades (Excludes AE) [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2017-18,Total Students All Grades (Excludes AE) [Public School] 2016-17,Total Students All Grades (Excludes AE) [Public School] 2015-16,Total Students All Grades (Excludes AE) [Public School] 2014-15,Free Lunch Eligible [Public School] 2024-25,Free Lunch Eligible [Public School] 2023-24,Free Lunch Eligible [Public School] 2022-23,Free Lunch Eligible [Public School] 2021-22,Free Lunch Eligible [Public School] 2020-21,Free Lunch Eligible [Public School] 2019-20,Free Lunch Eligible [Public School] 2018-19,Free Lunch Eligible [Public School] 2017-18,Free Lunch Eligible [Public School] 2016-17,Free Lunch Eligible [Public School] 2015-16,Free Lunch Eligible [Public School] 2014-15,Reduced-price Lunch Eligible Students [Public School] 2024-25,Reduced-price Lunch Eligible Students [Public School] 2023-24,Reduced-price Lunch Eligible Students [Public School] 2022-23,Reduced-price Lunch Eligible Students [Public School] 2021-22,Reduced-price Lunch Eligible Students [Public School] 2020-21,Reduced-price Lunch Eligible Students [Public School] 2019-20,Reduced-price Lunch Eligible Students [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2015-16,Reduced-price Lunch Eligible Students [Public School] 2014-15,Free and Reduced Lunch Students [Public School] 2024-25,Free and Reduced Lunch Students [Public School] 2023-24,Free and Reduced Lunch Students [Public School] 2022-23,Free and Reduced Lunch Students [Public School] 2021-22,Free and Reduced Lunch Students [Public School] 2020-21,Free and Reduced Lunch Students [Public School] 2019-20,Free and Reduced Lunch Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2016-17,Free and Reduced Lunch Students [Public School] 2015-16,Free and Reduced Lunch Students [Public School] 2014-15
NEW CREEK PRIMARY SCHOOL,West Virginia,5400721,New Creek Primary School,Mineral County,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,94,97,108,112,122,133,147,149,154,135,133,–,–,–,–,–,–,–,–,–,–,58,–,–,–,–,–,–,–,–,–,–,10,–,–,–,–,49,58,58,79,67,46,68
NEW HAVEN ELEMENTARY SCHOOL,West Virginia,5400622,New Haven Elementary School,Mason County,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,460,453,460,449,466,508,518,511,507,519,503,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,215,263,263,306,185,241,222
NEW MANCHESTER ELEMENTARY SCHOOL,West Virginia,5400267,New Manchester Elementary School,Hancock County,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,269,281,276,271,273,296,297,314,283,299,315,–,–,–,–,–,–,–,–,157,147,149,–,–,–,–,–,–,–,–,29,19,31,–,–,–,–,104,125,125,195,186,166,180
NEW MARTINSVILLE SCHOOL,West Virginia,5401127,New Martinsville School,Wetzel County,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,837,812,789,784,815,863,859,892,844,887,841,–,–,–,–,–,–,–,–,–,–,416,–,–,–,–,–,–,–,–,–,–,54,–,–,–,–,464,498,498,499,390,447,470
NEW RIVER ELEMENTARY,West Virginia,†,†,†,†,†,†,†,†,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,†,†,†,†,†,0,779,767,734,745,765,†,†,†,†,†,–,–,–,–,–,–,†,†,†,†,†,–,–,–,–,–,–,†,†,†,†,†,474,474,503,408,466,417
NEW RIVER INTERMEDIATE,WEST VIRGINIA,5401597,New River Intermediate,Fayette County,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,†,†,†,†,523,536,581,600,631,682,†,†,†,†,†,–,–,–,–,–,–,†,†,†,†,†,–,–,–,–,–,–,†,†,†,†,†,–,–,–,–,394,–,†,†,†,†,†
NEW RIVER PRIMARY,WEST VIRGINIA,5401598,New River Primary,Fayette County,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,†,†,†,†,605,648,664,644,669,800,†,†,†,†,†,–,–,–,–,–,–,†,†,†,†,†,–,–,–,–,–,–,†,†,†,†,†,–,–,–,–,424,–,†,†,†,†,†
NICHOLAS COUNTY CAREER AND TECHNICAL CENTER,West Virginia,5401410,Nicholas County Career and Technical Center,Nicholas County,43-Rural: Remote,43-Rural: Remote,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,1,†,†,–,–,0,–,–,0,0,0,–,†,†,–,–,–,–,–,–,†,0,–,†,†,–,–,–,–,–,–,†,0,–,†,†,–,–,–,–,–,–,†,0
NICHOLAS COUNTY HIGH SCHOOL,West Virginia,5400843,Nicholas County High School,Nicholas County,42-Rural: Distant,42-Rural: Distant,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,708,697,730,704,668,667,668,698,693,720,742,–,–,–,–,–,–,–,–,–,348,331,–,–,–,–,–,–,–,–,–,54,52,–,–,–,–,299,287,287,371,216,402,383
NICHOLS ELEMENTARY SCHOOL,West Virginia,5400129,Nichols Elementary School,Cabell County,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,230,237,217,231,224,246,251,241,236,232,241,–,–,–,–,–,–,–,–,–,81,66,–,–,–,–,–,–,–,–,–,14,15,–,–,–,–,70,73,73,101,60,95,81
NITRO ELEMENTARY SCHOOL,West Virginia,5400425,Nitro Elementary School,Kanawha County,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,377,357,364,353,347,380,374,415,404,423,406,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,212,211,211,251,193,230,211
NITRO HIGH SCHOOL,West Virginia,5400426,Nitro High School,Kanawha County,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,818,798,827,804,772,769,783,788,769,759,818,–,–,–,–,–,–,–,–,258,273,271,–,–,–,–,–,–,–,–,27,28,22,–,–,–,–,324,254,254,291,285,301,293
NORMANTOWN ELEMENTARY,West Virginia,†,†,†,†,†,†,†,†,†,†,†,†,42-Rural: Distant,42-Rural: Distant,†,†,†,†,†,†,†,†,†,126,136,†,†,†,†,†,†,†,†,†,–,–,†,†,†,†,†,†,†,†,†,–,–,†,†,†,†,†,†,†,†,†,45,51
NORTH ELEMENTARY SCHOOL,West Virginia,5401291,North Elementary School,Monongalia County,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,586,526,584,613,592,664,650,688,802,850,818,–,–,–,–,–,–,–,–,282,291,256,–,–,–,–,–,–,–,–,37,40,38,–,–,–,–,241,277,277,298,319,331,294
NORTH ELEMENTARY SCHOOL,West Virginia,5401004,North Elementary School,Randolph County,33-Town: Remote,33-Town: Remote,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,33-Town: Remote,201,189,214,195,212,223,256,254,251,262,270,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,108,130,130,162,107,131,128
NORTH FORK ELEMENTARY SCHOOL,West Virginia,5401007,North Fork Elementary School,Pendleton County,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,103,99,96,107,102,107,119,119,112,113,116,–,–,–,–,–,–,–,–,–,–,79,–,–,–,–,–,–,–,–,–,–,8,–,–,–,–,57,70,70,89,47,64,87
NORTH JEFFERSON ELEMENTARY,West Virginia,5400345,North Jefferson Elementary,Jefferson County,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,247,240,223,245,214,244,285,314,262,271,269,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,115,160,160,176,110,128,116
NORTH MARION HIGH SCHOOL,West Virginia,5401282,North Marion High School,Marion County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,671,715,738,741,752,744,712,761,774,775,805,–,–,–,–,–,–,–,–,324,339,312,–,–,–,–,–,–,–,–,79,72,76,–,–,–,–,348,352,352,392,403,411,388
NORTH VIEW ELEMENTARY SCHOOL,West Virginia,5401437,North View Elementary School,Harrison County,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,242,263,271,278,309,324,324,340,328,357,375,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,197,206,206,254,165,186,182
NORTHERN CORRECTIONAL FACILITY - ADULT,WEST VIRGINIA,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
NORWOOD ELEMENTARY SCHOOL,West Virginia,†,†,†,†,†,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,†,†,284,299,312,322,347,353,358,344,330,†,†,–,–,–,–,–,–,–,133,114,†,†,–,–,–,–,–,–,–,11,16,†,†,–,–,120,123,123,152,104,144,130
NUTTER FORT INTERMEDIATE SCHOOL,West Virginia,5400592,Nutter Fort Intermediate School,Harrison County,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,445,482,423,441,440,470,480,512,538,526,557,–,–,–,–,–,–,–,–,–,–,280,–,–,–,–,–,–,–,–,–,–,40,–,–,–,–,288,277,277,294,238,269,320
NUTTER FORT PRIMARY SCHOOL,West Virginia,5400591,Nutter Fort Primary School,Harrison County,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,593,653,560,506,550,601,629,640,636,705,699,–,–,–,–,–,–,–,–,–,–,398,–,–,–,–,–,–,–,–,–,–,33,–,–,–,–,362,434,434,399,360,405,431
OAK GLEN HIGH SCHOOL,West Virginia,5400268,Oak Glen High School,Hancock County,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,469,495,486,527,529,548,560,539,538,544,529,–,–,–,–,–,–,–,–,212,192,171,–,–,–,–,–,–,–,–,31,26,28,–,–,–,–,196,196,196,246,243,218,199
OAK GLEN MIDDLE SCHOOL,West Virginia,5401193,Oak Glen Middle School,Hancock County,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,465,468,490,519,518,518,506,552,572,585,598,–,–,–,–,–,–,–,–,298,280,253,–,–,–,–,–,–,–,–,34,31,49,–,–,–,–,200,197,197,294,332,311,302
OAK HILL HIGH,West Virginia,5400200,Oak Hill High,Fayette County,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,1057,1089,1164,1095,1093,1102,819,822,799,851,878,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,512,425,425,470,299,378,322
OAK HILL MIDDLE SCHOOL,West Virginia,5400172,Oak Hill Middle School,Fayette County,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,627,639,656,664,656,664,792,770,763,768,811,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,375,464,464,481,362,400,377
OAKVALE SCHOOL,West Virginia,5400698,Oakvale School,Mercer County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,168,186,181,167,157,161,165,162,140,128,118,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,89,98,98,122,80,81,61
OCEANA MIDDLE SCHOOL,West Virginia,5401213,Oceana Middle School,Wyoming County,42-Rural: Distant,42-Rural: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,221,215,229,227,231,230,244,240,252,266,283,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,119,134,134,129,124,139,124
OHIO COUNTY CORRECTIONAL COMPLEX - ADULT,WEST VIRGINIA,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
OMAR ELEMENTARY,West Virginia,5400611,Omar Elementary,Logan County,41-Rural: Fringe,41-Rural: Fringe,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,142,145,157,158,161,180,189,180,176,171,188,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,112,133,133,126,121,116,112
ONA ELEMENTARY SCHOOL,West Virginia,5400130,Ona Elementary School,Cabell County,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,291,281,266,265,262,307,345,357,372,385,376,–,–,–,–,–,–,–,–,–,140,128,–,–,–,–,–,–,–,–,–,29,26,–,–,–,–,87,120,120,160,91,169,154
OPEQUON ELEMENTARY SCHOOL,West Virginia,5400028,Opequon Elementary School,Berkeley County,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,433,435,459,432,418,429,421,432,416,424,461,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,238,214,214,275,208,178,224
ORCHARD VIEW INTERMEDIATE SCHOOL,West Virginia,5401122,Orchard View Intermediate School,Berkeley County,41-Rural: Fringe,41-Rural: Fringe,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,714,654,672,697,549,557,566,630,606,570,604,–,–,–,–,–,–,–,–,301,306,292,–,–,–,–,–,–,–,–,36,38,38,–,–,–,–,307,300,300,350,337,344,330
OVERBROOK ELEMENTARY SCHOOL,West Virginia,5400429,Overbrook Elementary School,Kanawha County,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,375,337,349,366,345,345,366,393,389,411,422,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,125,132,132,105,102,86,93
PADEN CITY ELEMENTARY SCHOOL,West Virginia,5401128,Paden City Elementary School,Wetzel County,42-Rural: Distant,42-Rural: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,155,166,195,197,188,199,205,227,238,231,221,–,–,–,–,–,–,–,–,–,–,107,–,–,–,–,–,–,–,–,–,–,17,–,–,–,–,121,116,116,127,93,107,124
PADEN CITY HIGH SCHOOL,West Virginia,5401129,Paden City High School,Wetzel County,42-Rural: Distant,42-Rural: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,152,160,163,165,181,187,199,184,173,182,195,–,–,–,–,–,–,–,–,–,–,57,–,–,–,–,–,–,–,–,–,–,17,–,–,–,–,90,82,82,70,49,44,74
PAGE JACKSON ELEMENTARY,West Virginia,5400346,Page Jackson Elementary,Jefferson County,41-Rural: Fringe,41-Rural: Fringe,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,366,361,365,363,328,368,367,392,394,423,447,–,–,–,–,–,–,–,–,126,153,165,–,–,–,–,–,–,–,–,19,20,24,–,–,–,–,128,161,161,156,145,173,189
PANTHER CREEK ELEMENTARY SCHOOL,West Virginia,5400837,Panther Creek Elementary School,Nicholas County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,211,227,245,245,229,253,255,279,274,293,281,–,–,–,–,–,–,–,–,–,152,134,–,–,–,–,–,–,–,–,–,19,24,–,–,–,–,117,135,135,158,99,171,158
PARK MIDDLE SCHOOL,West Virginia,5400972,Park Middle School,Raleigh County,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,391,411,394,386,400,411,415,408,414,422,418,–,–,–,–,–,–,–,–,174,174,160,–,–,–,–,–,–,–,–,38,28,26,–,–,–,–,182,215,215,232,212,202,186
PARKERSBURG CORRECTIONAL FACILITY - ADUL,WEST VIRGINIA,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
PARKERSBURG HIGH SCHOOL,West Virginia,5401170,Parkersburg High School,Wood County,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,1491,1552,1651,1719,1728,1677,1739,1689,1707,1783,1884,–,–,–,–,–,–,–,–,659,753,715,–,–,–,–,–,–,–,–,55,83,99,–,–,–,–,858,765,764,817,714,836,814
PARKERSBURG SOUTH HIGH SCHOOL,West Virginia,5401171,Parkersburg South High School,Wood County,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,1373,1385,1454,1518,1502,1467,1501,1537,1559,1576,1565,–,–,–,–,–,–,–,–,537,605,587,–,–,–,–,–,–,–,–,52,67,53,–,–,–,–,649,590,590,692,589,672,640
PAW PAW ELEMENTARY SCHOOL,West Virginia,5400823,Paw Paw Elementary School,Morgan County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,82,79,81,81,79,88,107,102,94,99,112,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,54,61,61,66,39,53,61
PAW PAW HIGH SCHOOL,West Virginia,5400824,Paw Paw High School,Morgan County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,71,77,72,81,77,77,88,77,90,97,107,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,49,50,50,42,49,53,42
PENDLETON COUNTY MIDDLE/HIGH SCHOOL,West Virginia,5400882,Pendleton County Middle/High School,Pendleton County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,386,381,388,385,398,395,399,411,413,425,404,–,–,–,–,–,–,–,–,168,190,173,–,–,–,–,–,–,–,–,52,59,49,–,–,–,–,173,228,228,233,220,249,222
PETERSBURG ELEMENTARY SCHOOL,West Virginia,5400219,Petersburg Elementary School,Grant County,43-Rural: Remote,43-Rural: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,644,644,637,643,632,653,650,657,638,665,689,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,325,344,344,401,283,312,312
PETERSBURG HIGH SCHOOL,West Virginia,5400220,Petersburg High School,Grant County,43-Rural: Remote,43-Rural: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,582,589,616,622,628,646,657,670,682,692,703,–,–,–,–,–,–,–,–,183,260,243,–,–,–,–,–,–,–,–,57,74,75,–,–,–,–,259,279,279,346,240,334,318
PETERSON-CENTRAL ELEMENTARY SCHOOL,West Virginia,5400478,Peterson-Central Elementary School,Lewis County,41-Rural: Fringe,41-Rural: Fringe,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,476,513,459,463,452,503,517,521,513,483,460,–,–,–,–,–,–,–,–,–,306,255,–,–,–,–,–,–,–,–,–,18,37,–,–,–,–,314,340,340,358,266,324,292
PETERSTOWN ELEMENTARY SCHOOL,West Virginia,5400814,Peterstown Elementary School,Monroe County,42-Rural: Distant,42-Rural: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,420,387,388,368,396,398,433,451,473,454,475,–,–,–,–,–,–,–,–,242,242,232,–,–,–,–,–,–,–,–,33,37,42,–,–,–,–,211,231,231,264,275,279,274
PETERSTOWN MIDDLE SCHOOL,West Virginia,5400765,Peterstown Middle School,Monroe County,42-Rural: Distant,42-Rural: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,275,294,317,310,319,309,287,288,280,296,311,–,–,–,–,–,–,–,–,109,129,126,–,–,–,–,–,–,–,–,40,38,32,–,–,–,–,145,117,117,153,149,167,158
PEYTON ELEMENTARY SCHOOL,West Virginia,†,†,†,†,†,†,†,†,†,†,†,†,13-City: Small,13-City: Small,†,†,†,†,†,†,†,†,†,†,170,†,†,†,†,†,†,†,†,†,†,–,†,†,†,†,†,†,†,†,†,†,–,†,†,†,†,†,†,†,†,†,†,127
